Instant food products,butter,2.741145047032865
butter,Instant food products,2.741145047032865
Instant food products,curd,3.0885834380133352
curd,Instant food products,3.088583438013335
Instant food products,hamburger meat,11.42143769597027
hamburger meat,Instant food products,11.421437695970273
dessert,UHT-milk,2.4570096181871173
UHT-milk,dessert,2.4570096181871173
mustard,UHT-milk,3.0400288496213483
UHT-milk,mustard,3.0400288496213483
abrasive cleaner,root vegetables,3.4076492537313436
root vegetables,abrasive cleaner,3.4076492537313436
abrasive cleaner,sausage,3.041125541125542
sausage,abrasive cleaner,3.041125541125542
yogurt,artif. sweetener,2.464126275510204
artif. sweetener,yogurt,2.464126275510204
baking powder,butter,2.9039333544237054
butter,baking powder,2.9039333544237054
cream cheese,baking powder,2.4638225758915415
baking powder,cream cheese,2.4638225758915415
baking powder,domestic eggs,2.8080330828175653
domestic eggs,baking powder,2.8080330828175653
baking powder,flour,5.949788263762856
flour,baking powder,5.949788263762856
frozen vegetables,baking powder,2.867974046803237
baking powder,frozen vegetables,2.8679740468032366
grapes,baking powder,2.826149425287356
baking powder,grapes,2.826149425287356
hard cheese,baking powder,3.048957886202127
baking powder,hard cheese,3.048957886202127
baking powder,long life bakery product,2.9183064717641183
long life bakery product,baking powder,2.918306471764118
baking powder,margarine,2.943905651340996
margarine,baking powder,2.9439056513409962
oil,baking powder,3.276694985840413
baking powder,oil,3.2766949858404124
sugar,baking powder,5.431638535086811
baking powder,sugar,5.431638535086811
baking powder,whipped/sour cream,3.607850330154072
whipped/sour cream,baking powder,3.607850330154072
beef,berries,2.5646587487850554
berries,beef,2.5646587487850554
beef,cat food,2.829880505060763
cat food,beef,2.8298805050607627
beef,dog food,2.7228682170542635
dog food,beef,2.7228682170542635
beef,flour,3.1209483657464077
flour,beef,3.1209483657464077
beef,frozen potato products,2.5260343700382926
frozen potato products,beef,2.5260343700382926
beef,herbs,3.3355135658914734
herbs,beef,3.335513565891473
beef,jam,4.315489249670908
jam,beef,4.315489249670909
beef,mayonnaise,2.541343669250646
mayonnaise,beef,2.541343669250646
beef,pickled vegetables,2.490805584918957
pickled vegetables,beef,2.4908055849189568
pork,beef,2.5211742750502437
beef,pork,2.521174275050244
beef,rice,3.049612403100775
rice,beef,3.049612403100775
beef,roll products,2.4532773044746334
roll products,beef,2.4532773044746334
beef,root vegetables,3.0403668431100312
root vegetables,beef,3.0403668431100312
beef,soft cheese,2.7228682170542635
soft cheese,beef,2.7228682170542635
beef,turkey,2.6207606589147288
turkey,beef,2.6207606589147283
cake bar,berries,3.4703599153140434
berries,cake bar,3.470359915314044
berries,cling film/bags,2.6853975535168195
cling film/bags,berries,2.685397553516819
grapes,berries,3.55448985265499
berries,grapes,3.5544898526549904
mustard,berries,2.548851915202405
berries,mustard,2.548851915202405
packaged fruit/vegetables,berries,3.2896120030581044
berries,packaged fruit/vegetables,3.2896120030581044
soft cheese,berries,2.5063710499490313
berries,soft cheese,2.5063710499490317
whipped/sour cream,berries,3.7968855054547026
berries,whipped/sour cream,3.796885505454703
liquor,bottled beer,5.240594013529793
bottled beer,liquor,5.240594013529793
bottled beer,liquor (appetizer),2.86567599067599
liquor (appetizer),bottled beer,2.8656759906759905
red/blush wine,bottled beer,3.1537598204264876
bottled beer,red/blush wine,3.153759820426487
tea,bottled beer,3.5946637426900576
bottled beer,tea,3.594663742690058
bottled water,male cosmetics,2.6138198916487783
male cosmetics,bottled water,2.6138198916487783
